id,category,title,author,fascicle,year,start_page,end_page,pdf_link
ANU-M-2019-10046900490,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Cervantes y el lenguaje jurídico,Santiago Muñoz Machado,1,2019,00469,00490,abrir_pdf.php?id=ANU-M-2019-10046900490
ANU-M-2019-10049500496,Otras Actividades Académicas. Nuevos ingresos,Extracto del Discurso de Ingreso: Fernando Vallespín Oña: Política y verdad en el Leviatan de Thomas Hobbes,Fernando Vallespín Oña,1,2019,00495,00496,abrir_pdf.php?id=ANU-M-2019-10049500496
ANU-M-2019-10049900499,Otras Actividades Académicas. Actos públicos,Homenajes. Ciclo de conferencias,RACMYP,1,2019,00499,00499,abrir_pdf.php?id=ANU-M-2019-10049900499
ANU-M-2019-10049900500,Otras Actividades Académicas. Actos públicos,Presentaciones de libros,RACMYP,1,2019,00499,00500,abrir_pdf.php?id=ANU-M-2019-10049900500
ANU-M-2019-10050000500,Otras Actividades Académicas. Actos públicos,Seminario sobre Metodología y Antropología dialógica ambital,RACMYP,1,2019,00500,00500,abrir_pdf.php?id=ANU-M-2019-10050000500
ANU-M-2019-10050300504,Otras Actividades Académicas. Crónica Académica,Académicos,RACMYP,1,2019,00503,00504,abrir_pdf.php?id=ANU-M-2019-10050300504
ANU-M-2019-10050400505,Otras Actividades Académicas. Crónica Académica,Representación Académica,RACMYP,1,2019,00504,00505,abrir_pdf.php?id=ANU-M-2019-10050400505
ANU-M-2019-10050500506,Otras Actividades Académicas. Crónica Académica,Honores y reconocimientos,RACMYP,1,2019,00505,00506,abrir_pdf.php?id=ANU-M-2019-10050500506
ANU-M-2019-10050600508,Otras Actividades Académicas. Crónica Académica,Asuntos especiales,RACMYP,1,2019,00506,00508,abrir_pdf.php?id=ANU-M-2019-10050600508
ANU-M-2019-10050800509,Otras Actividades Académicas. Crónica Académica,Biblioteca,RACMYP,1,2019,00508,00509,abrir_pdf.php?id=ANU-M-2019-10050800509
